HMDB0028906	secondary_accession	HMDB28906
HMDB0013674	secondary_accession	HMDB13674
HMDB0002264	secondary_accession	HMDB02264
HMDB0000214	secondary_accession	HMDB00214
HMDB0000904	secondary_accession	HMDB00904
HMDB0061918	secondary_accession	HMDB61918
HMDB0000715	secondary_accession	HMDB00715
HMDB0008456	secondary_accession	HMDB08456
HMDB0000220	secondary_accession	HMDB60083
HMDB0000177	secondary_accession	HMDB00177
HMDB0005826	secondary_accession	HMDB05826
HMDB0000564	secondary_accession	HMDB0005250
HMDB0000779	secondary_accession	HMDB00779
HMDB0000159	secondary_accession	HMDB0000612
HMDB0002641	secondary_accession	HMDB02641
HMDB0002100	secondary_accession	HMDB02100
HMDB0008063	secondary_accession	HMDB08063
HMDB0002262	secondary_accession	HMDB02262
HMDB0008162	secondary_accession	HMDB08162
HMDB0000840	secondary_accession	HMDB00840
HMDB0012308	secondary_accession	HMDB12308
HMDB0000176	secondary_accession	HMDB00176
HMDB0000168	secondary_accession	HMDB00168
HMDB0001492	secondary_accession	HMDB02634
HMDB0028884	secondary_accession	HMDB28884
HMDB0008787	secondary_accession	HMDB08787
HMDB0000682	secondary_accession	HMDB03309
HMDB0001847	secondary_accession	HMDB01847
HMDB0000407	secondary_accession	HMDB00407
HMDB0000508	secondary_accession	HMDB00508
HMDB0002802	secondary_accession	HMDB02802
HMDB0002925	secondary_accession	HMDB0006735
HMDB0002214	secondary_accession	HMDB02214
HMDB0005923	secondary_accession	HMDB05923
HMDB0010382	secondary_accession	HMDB10382
HMDB0000806	secondary_accession	HMDB00806
HMDB0000001	secondary_accession	HMDB06704
HMDB0004704	secondary_accession	HMDB04704
HMDB0000044	secondary_accession	HMDB29945
HMDB0003357	secondary_accession	HMDB0006489
HMDB0008226	secondary_accession	HMDB08226
HMDB0000158	secondary_accession	HMDB00647
HMDB0000899	secondary_accession	HMDB0011608
HMDB0035924	secondary_accession	HMDB35924
HMDB0000174	secondary_accession	HMDB59624
HMDB0000746	secondary_accession	HMDB00746
HMDB0059999	secondary_accession	HMDB59999
HMDB0000378	secondary_accession	HMDB00378
HMDB0004668	secondary_accession	HMDB04668
HMDB0000639	secondary_accession	HMDB0003435
HMDB0000355	secondary_accession	HMDB00355
HMDB0000182	secondary_accession	HMDB62809
HMDB0000207	secondary_accession	HMDB02066
HMDB0000148	secondary_accession	HMDB00148
HMDB0002262	secondary_accession	HMDB06739
HMDB0003550	secondary_accession	HMDB05997
HMDB0008721	secondary_accession	HMDB08721
HMDB0028747	secondary_accession	HMDB28747
HMDB0006248	secondary_accession	HMDB29142
HMDB0000439	secondary_accession	HMDB00439
HMDB0000716	secondary_accession	HMDB00716
HMDB0003646	secondary_accession	HMDB03646
HMDB0033951	secondary_accession	HMDB33951
HMDB0000749	secondary_accession	HMDB00749
HMDB0034070	secondary_accession	HMDB34070
HMDB0002259	secondary_accession	HMDB02259
